timestamp,open,high,low,close,volume,year,month,day
2021-06-21 00:00:00+00:00,35.248,35.499,35.18,35.229,11813.845,2021,6,21
2021-06-21 00:05:00+00:00,35.222,35.288,34.782,34.896,15770.339,2021,6,21
2021-06-21 00:10:00+00:00,34.897,35.071,34.892,34.945,16938.937,2021,6,21
2021-06-21 00:15:00+00:00,34.93,35.01,34.633,34.636,8806.854,2021,6,21
2021-06-21 00:20:00+00:00,34.634,34.84,34.56,34.818,7473.109,2021,6,21
2021-06-21 00:25:00+00:00,34.816,34.925,34.722,34.77,3774.89,2021,6,21
2021-06-21 00:30:00+00:00,34.773,34.834,34.656,34.738,3971.938,2021,6,21
2021-06-21 00:35:00+00:00,34.747,34.846,34.706,34.825,3586.35,2021,6,21
2021-06-21 00:40:00+00:00,34.822,34.827,34.731,34.731,2325.336,2021,6,21
2021-06-21 00:45:00+00:00,34.739,34.794,34.654,34.722,3817.242,2021,6,21
2021-06-21 00:50:00+00:00,34.711,34.88,34.68,34.811,3587.662,2021,6,21
2021-06-21 00:55:00+00:00,34.817,35.074,34.796,35.023,6353.33,2021,6,21
2021-06-21 01:00:00+00:00,35.031,35.165,35.021,35.056,4987.441,2021,6,21
2021-06-21 01:05:00+00:00,35.055,35.055,34.785,34.821,3164.059,2021,6,21
2021-06-21 01:10:00+00:00,34.824,34.845,34.647,34.667,3111.396,2021,6,21
2021-06-21 01:15:00+00:00,34.65,34.652,34.369,34.383,20237.169,2021,6,21
2021-06-21 01:20:00+00:00,34.369,34.478,34.235,34.255,9371.039,2021,6,21
2021-06-21 01:25:00+00:00,34.265,34.392,34.249,34.263,4436.241,2021,6,21
2021-06-21 01:30:00+00:00,34.24,34.463,34.15,34.393,11211.937,2021,6,21
2021-06-21 01:35:00+00:00,34.409,34.409,34.143,34.143,4619.793,2021,6,21
2021-06-21 01:40:00+00:00,34.143,34.199,33.978,34.104,13507.272,2021,6,21
2021-06-21 01:45:00+00:00,34.111,34.3,34.059,34.227,6356.665,2021,6,21
2021-06-21 01:50:00+00:00,34.228,34.376,34.226,34.295,3551.825,2021,6,21
2021-06-21 01:55:00+00:00,34.307,34.322,33.91,33.994,8713.759,2021,6,21
2021-06-21 02:00:00+00:00,33.977,34.26,33.977,34.171,9103.782,2021,6,21
2021-06-21 02:05:00+00:00,34.176,34.274,34.17,34.198,5319.602,2021,6,21
2021-06-21 02:10:00+00:00,34.201,34.204,33.974,34.03,5738.487,2021,6,21
2021-06-21 02:15:00+00:00,34.056,34.097,33.621,33.779,65104.705,2021,6,21
2021-06-21 02:20:00+00:00,33.779,33.878,33.642,33.718,18527.739,2021,6,21
2021-06-21 02:25:00+00:00,33.721,33.728,33.326,33.39,16721.662,2021,6,21
2021-06-21 02:30:00+00:00,33.395,33.526,33.267,33.419,15350.635,2021,6,21
2021-06-21 02:35:00+00:00,33.416,33.563,33.276,33.323,8142.824,2021,6,21
2021-06-21 02:40:00+00:00,33.33,33.353,32.994,33.065,41579.598,2021,6,21
2021-06-21 02:45:00+00:00,33.063,33.064,32.821,32.985,18262.118,2021,6,21
2021-06-21 02:50:00+00:00,32.985,33.209,32.955,33.209,21683.066,2021,6,21
2021-06-21 02:55:00+00:00,33.205,33.283,33.168,33.241,6819.707,2021,6,21
2021-06-21 03:00:00+00:00,33.221,33.264,32.921,32.934,7410.548,2021,6,21
2021-06-21 03:05:00+00:00,32.933,33.063,32.732,32.939,15072.438,2021,6,21
2021-06-21 03:10:00+00:00,32.935,33.017,32.826,32.993,6126.934,2021,6,21
2021-06-21 03:15:00+00:00,32.999,32.999,32.851,32.94,5333.003,2021,6,21
2021-06-21 03:20:00+00:00,32.94,33.053,32.919,33.0,12635.173,2021,6,21
2021-06-21 03:25:00+00:00,33.009,33.05,32.852,32.948,13757.081,2021,6,21
