timestamp,open,high,low,close,volume,year,month,day
2026-03-11 00:00:00+00:00,1.3864,1.3875,1.3819,1.3832,918919.6,2026,3,11
2026-03-11 00:05:00+00:00,1.3832,1.3868,1.3832,1.3862,428391.3,2026,3,11
2026-03-11 00:10:00+00:00,1.3862,1.387,1.3843,1.3866,219012.4,2026,3,11
2026-03-11 00:15:00+00:00,1.3866,1.3875,1.3858,1.3875,281137.4,2026,3,11
2026-03-11 00:20:00+00:00,1.3875,1.3878,1.3855,1.3871,203108.6,2026,3,11
2026-03-11 00:25:00+00:00,1.387,1.388,1.386,1.387,203792.1,2026,3,11
2026-03-11 00:30:00+00:00,1.387,1.387,1.3827,1.3828,410229.6,2026,3,11
2026-03-11 00:35:00+00:00,1.3829,1.3859,1.3825,1.3838,111269.3,2026,3,11
2026-03-11 00:40:00+00:00,1.3838,1.3838,1.3823,1.3832,307300.4,2026,3,11
2026-03-11 00:45:00+00:00,1.3833,1.3873,1.3832,1.3873,118157.0,2026,3,11
2026-03-11 00:50:00+00:00,1.3874,1.3926,1.3874,1.39,803842.0,2026,3,11
2026-03-11 00:55:00+00:00,1.3899,1.3906,1.3882,1.3884,145168.8,2026,3,11
2026-03-11 01:00:00+00:00,1.3884,1.389,1.3862,1.3874,200071.5,2026,3,11
2026-03-11 01:05:00+00:00,1.3875,1.39,1.3875,1.3896,121805.9,2026,3,11
2026-03-11 01:10:00+00:00,1.3895,1.3905,1.3886,1.389,135074.4,2026,3,11
2026-03-11 01:15:00+00:00,1.389,1.3891,1.3854,1.3866,310728.5,2026,3,11
2026-03-11 01:20:00+00:00,1.3867,1.3881,1.386,1.3869,177377.6,2026,3,11
2026-03-11 01:25:00+00:00,1.387,1.3889,1.3864,1.3889,67663.7,2026,3,11
2026-03-11 01:30:00+00:00,1.3888,1.3891,1.3877,1.3884,70061.3,2026,3,11
2026-03-11 01:35:00+00:00,1.3884,1.3884,1.3846,1.3857,86805.5,2026,3,11
2026-03-11 01:40:00+00:00,1.3858,1.3865,1.3843,1.3863,102925.5,2026,3,11
2026-03-11 01:45:00+00:00,1.3863,1.388,1.3858,1.3878,40583.9,2026,3,11
2026-03-11 01:50:00+00:00,1.3878,1.3899,1.3878,1.3893,59896.7,2026,3,11
